-4.340333,8.493271
-8.432371,-0.064689
-8.019903,-0.053996
-7.933588,-0.048726
-7.826686,-0.038662
-7.816356,-0.039054
-7.840909,-0.039007
-7.839434,-0.038388
-7.848378,-0.036554
-7.841407,-0.040035
-7.83783,-0.041019
-7.823856,-0.045074
-7.831207,-0.039278
-7.832209,-0.036478
-7.855249,-0.039381
-7.843277,-0.036435
-7.857181,-0.034801
-7.859569,-0.039371
-7.885834,-0.042678
-7.859868,-0.041006
-7.87898,-0.040344
-7.878437,-0.037846
-7.882809,-0.036022
-7.859567,-0.037415
-7.84934,-0.038786
-7.834798,-0.037362
-7.858306,-0.036001
-7.851481,-0.035387
-7.858889,-0.036007
-7.861333,-0.034945
-7.853021,-0.034262
-7.822429,-0.038217
-7.82832,-0.037525
-7.84981,-0.037735
-7.859939,-0.036413
-7.837517,-0.038357
-7.853888,-0.039663
-7.850555,-0.04013
-7.84911,-0.042917
-7.843038,-0.039577
-7.8315,-0.037557
-7.827319,-0.033738
-7.817648,-0.034254
-7.81725,-0.036247
-7.823728,-0.036051
-7.829084,-0.038694
-7.825751,-0.039432
-7.833386,-0.040928
-7.858154,-0.041932
-7.861678,-0.042186
-7.874642,-0.039085
-7.88258,-0.041216
-7.87966,-0.039668
-7.873737,-0.034963
-7.881708,-0.039464
-7.885145,-0.042407
-7.878302,-0.044478
-7.876906,-0.04631
-7.897456,-0.040648
-7.896989,-0.036842
-7.910345,-0.038569
-7.911369,-0.038124
-7.910238,-0.040193
